Country,Year,"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)",Research and development expenditure (% of GDP),Scientific and technical journal articles,"Patent applications, nonresidents","Patent applications, residents","Trademark applications, direct nonresident",Researchers in R&D (per million people),Technicians in R&D (per million people),"Trademark applications, direct resident",High-technology exports (current US$),High-technology exports (% of manufactured exports),"Population, total (millions)",Human Development Index (HDI),"Literacy rate, adult (% ages 15 and older)",Gross national income (GNI) per capita (2011 PPP$),Life expectancy at birth,Government expenditure on education (% of GDP),Population with at least some secondary education (% ages 25 and older)
India,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1976,17776013.3,111523.9269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1977,23026309.47,113459.9949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1978,13068415.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1979,13496502.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1980,12455736.62,0,0,0,1817,127,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1981,15153361.08,111305.3895,0,0,1834,167,1185,0,0,13212,0,0,0,0,0,0,0,0,0
India,1982,38854328.11,625124.1753,0,0,1948,1128,2141,0,0,1255,0,0,0,0,0,0,0,0,0
India,1983,24571485.05,896690.4899,0,0,0,0,2821,0,0,1349,0,0,0,0,0,0,0,0,0
India,1984,22207099.13,173389.2016,0,0,2291,13,1612,0,0,14694,0,0,0,0,0,0,0,0,0
India,1985,25143719.35,165407.7301,0,0,2493,982,1725,0,0,14189,0,0,0,0,0,0,0,0,0
India,1986,24934650.13,397330.0379,0,0,2497,999,3645,0,0,14165,0,0,0,0,0,0,0,0,0
India,1987,40558650.91,771836.3135,0,0,252,988,3166,0,0,1561,0,0,0,0,0,0,0,0,0
India,1988,108393928.2,1032024.352,0,0,254,133,4523,0,0,1559,0,0,0,0,0,0,0,0,0
India,1989,127039845.2,1292412.288,0,0,26,148,1799,0,0,1747,0,0,0,0,0,0,0,0,0
India,1990,72465533.69,1323398.81,0,0,2673,1147,1968,0,0,18713,0,0,0,0.431,0,1882,57.9,0,0
India,1991,49565207.9,615524.7633,0,0,2328,1267,214,0,0,1998,0,0,0,0.436,0,1859,58.4,0,0
India,1992,68598351.54,731658.9889,0,0,2176,1248,254,0,0,2928,0,0,0,0.442,0,1922,58.9,0,0
India,1993,75336944.71,290980.4537,0,0,2511,129,2862,0,0,24623,0,0,0,0.449,0,1977,59.3,0,0
India,1994,93836422.84,446175.1355,0,0,3212,1588,3418,0,0,33679,0,0,0,0.456,0,2070,59.8,0,0
India,1995,90293739.53,1395550.263,0,0,521,1545,4614,0,0,3819,0,0,0,0.463,0,2188,60.3,0,0
