Year,"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)",Research and development expenditure (% of GDP),Scientific and technical journal articles,"Patent applications, nonresidents","Patent applications, residents","Trademark applications, direct nonresident",Researchers in R&D (per million people),Technicians in R&D (per million people),"Trademark applications, direct resident",High-technology exports (current US$),High-technology exports (% of manufactured exports)
1960,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,0
1976,17776013.3,111523.9269,0,0,0,0,0,0,0,0,0,0
1977,23026309.47,113459.9949,0,0,0,0,0,0,0,0,0,0
1978,13068415.52,0,0,0,0,0,0,0,0,0,0,0
1979,13496502.35,0,0,0,0,0,0,0,0,0,0,0
1980,12455736.62,0,0,0,1817,1207,0,0,0,0,0,0
1981,15153361.08,111305.3895,0,0,1834,1067,1185,0,0,13212,0,0
1982,38854328.11,625124.1753,0,0,1948,1128,2141,0,0,12550,0,0
1983,24571485.05,896690.4899,0,0,0,0,2821,0,0,13049,0,0
1984,22207099.13,173389.2016,0,0,2291,1003,1612,0,0,14694,0,0
1985,25143719.35,165407.7301,0,0,2493,982,1725,0,0,14189,0,0
1986,24934650.13,397330.0379,0,0,2497,999,3645,0,0,14165,0,0
1987,40558650.91,771836.3135,0,0,2520,988,3166,0,0,15061,0,0
1988,108393928.2,1032024.352,0,0,2504,1033,4523,0,0,15059,0,0
1989,127039845.2,1292412.288,0,0,2600,1048,1799,0,0,17047,0,0
1990,72465533.69,1323398.81,0,0,2673,1147,1968,0,0,18713,0,0
1991,49565207.9,615524.7633,0,0,2328,1267,2014,0,0,19980,0,0
1992,68598351.54,731658.9889,0,0,2176,1248,2054,0,0,20928,0,0
1993,75336944.71,290980.4537,0,0,2511,1209,2862,0,0,24623,0,0
1994,93836422.84,446175.1355,0,0,3212,1588,3418,0,0,33679,0,0
1995,90293739.53,1395550.263,0,0,5021,1545,4614,0,0,38109,0,0
1996,118039538.7,6899307.428,0.63905,0,6901,1661,0,152.0066,110.77041,0,0,0
1997,150485539.5,12414145.52,0.68669,0,8229,1926,0,0,0,0,0,0
1998,200807738.7,19303913.32,0.70379,0,6707,2247,0,115.2819,98.73234,0,0,0
1999,315298932.6,22883886.56,0.72413,0,2620,2206,5393,0,0,60337,0,0
2000,282463092.3,82548708.77,0.75699,21770.72,6332,2206,17013,109.72807,85.22344,67262,0,0
2001,317035850.7,37156159.54,0.73591,22947.58,8213,2379,10490,0,0,79746,0,0
2002,345233067,20159947.94,0.72567,24853.47,8772,2693,5930,0,0,88190,0,0
2003,549887942.1,24088615.69,0.71929,27295.91,9188,3425,15450,0,0,76801,0,0
2004,611481232.4,52796059.57,0.7569,29347.65,13452,4014,15090,0,0,63906,0,0
2005,671829366.3,205974583.7,0.82411,33516.09,19661,4721,12361,134.91257,92.19858,73308,0,0
2006,845949436,60913260.31,0.80473,38515.35,23242,5686,15211,0,0,88210,0,0
2007,1159824391,163126496.6,0.80507,43627.4,28922,6296,6500,0,0,117014,0,0
2008,1528826913,147815443.4,0.85876,48998.11,30387,6425,10801,0,0,119371,0,0
2009,1860070100,191939516.6,0.83314,54797.65,27025,7262,7540,0,0,134403,11347424854,9.618386067
2010,2438302981,127378163.3,0.78849,62436.88,30909,8853,17806,156.21967,100.61565,172120,10778725729,7.67324606
2011,2819291079,302615975.5,0.75502,74142.9,33450,8841,22161,0,0,176386,14546206697,7.765255968
2012,3990055617,321445174,0.74399,80493.3,34402,9553,14807,0,0,176044,13927179245,7.428554057
2013,3903908830,445568319.5,0.70642,86348.11,32362,10669,19646,0,0,183172,17965366385,8.689127199
2014,4848711889,658722433,0.70159,96425.77,30814,12040,23616,0,0,200140,18344917155,9.096625709
2015,5009034407,466556838.1,0.6931,101813.08,33079,12579,24237,216.00083,95.54919,250585,14615780664,7.990802432
2016,5466041710,524879155.1,0.67111,112167.34,31858,13199,31659,0,0,264662,14300754797,7.645531085
2017,6515405394,659628261,0.66584,121631.31,31621,14961,23687,0,0,242482,15161028362,7.352250954
2018,7905957777,784900902.1,0.64998,135787.79,33766,16289,26220,252.70392,73.05997,297750,20273090235,9.007948621
2019,7889685402,871605164.4,0,0,0,0,0,0,0,0,0,0
